weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Sunday,17,198,2,168,2,2,,0,0,0,0,0,1,2,0,0,2,1,2
Sunday,17,127,2,148,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,15,276,2,2,2,2,,0,0,0,1,0,0,2,0,1,2,0,3
Sunday,15,159,2,2,2,2,,0,0,0,1,0,0,0,0,0,0,1,0
Sunday,12,113,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,1,0
Sunday,3,47,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,3,235,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,2,122,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,2
Sunday,1,75,2,2,2,2,,0,0,0,1,0,0,0,0,0,0,0,0
Saturday,23,197,2,2,51,56,,1,0,0,0,0,0,0,0,0,0,0,0
Saturday,23,228,2,27,2,2,,0,0,0,1,0,0,2,1,2,2,2,4
Saturday,22,230,2,2,2,2,,0,0,0,0,0,0,1,0,0,2,0,3
Saturday,22,228,2,2,2,2,,0,0,1,1,0,1,0,1,0,0,5,0
Saturday,20,255,2,2,2,2,,0,0,2,0,1,1,0,0,0,1,2,0
Saturday,19,145,2,38,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,15,59,2,2,2,2,,0,0,1,0,0,0,0,0,0,0,1,0
Saturday,6,121,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,1,0
Saturday,1,120,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,0,1
Saturday,0,58,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Saturday,0,104,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Friday,23,85,2,2,2,2,,0,0,0,0,0,0,0,0,1,0,1,0
Friday,19,34,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,15,266,2,39,51,49,,1,0,0,0,0,0,0,0,0,0,0,4
Friday,14,102,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,14,271,2,2,51,28,,1,0,0,1,0,0,1,0,0,1,0,1
Friday,13,281,2,2,51,2,,1,0,2,2,3,2,2,2,1,2,3,2
Friday,10,177,2,2,2,2,,0,0,1,2,0,0,2,0,1,1,0,2
Friday,10,143,75,2,102,46,,1,0,0,0,0,0,0,0,0,0,0,1
Friday,10,123,2,2,153,2,,1,0,0,0,0,0,0,0,0,0,0,1
Friday,9,111,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,4,246,2,2,2,2,,0,0,1,0,0,2,0,1,1,1,2,0
Friday,1,52,2,25,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,1,33,2,2,2,2,,0,0,0,0,0,0,1,0,0,2,0,2
Friday,1,86,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,23,164,2,2,51,29,,1,0,1,1,0,1,0,2,0,0,2,0
Thursday,22,309,2,78,51,21,,1,0,0,0,0,0,1,0,0,1,0,1
Thursday,21,86,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,19,232,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Thursday,16,59,2,64,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,16,227,2,26,51,20,,1,0,0,0,1,1,0,0,0,0,1,0
Thursday,16,106,76,2,51,2,,1,0,0,1,0,0,2,0,0,1,0,2
Thursday,13,119,2,2,63,2,,1,0,0,0,0,0,1,0,0,2,0,2
Thursday,12,214,2,63,2,23,,0,0,0,0,0,1,0,1,0,0,0,3
Thursday,5,67,2,2,51,19,,1,0,0,0,0,0,0,0,0,0,0,2
Thursday,4,173,2,2,2,2,,0,0,0,0,0,0,0,0,0,1,0,2
Thursday,4,40,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,3,198,2,2,2,2,,0,0,0,0,0,0,1,0,1,1,0,2
Thursday,3,281,2,55,2,2,,0,0,1,1,0,1,2,1,1,2,1,5
Thursday,2,125,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,0,1
Thursday,1,279,2,2,2,2,,0,0,0,0,1,0,0,0,0,3,1,2
Thursday,0,103,81,137,2,42,,0,0,0,0,0,0,2,0,0,1,0,2
Thursday,23,65,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,1,1
Thursday,23,45,2,48,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
