"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"247",0,0,0,0,0,0,0,0,0,0
"248",0,0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,1,0,1
"250",0,2,0,0,2,0,0,2,0,5
"251",0,0,1,0,0,0,0,0,1,0
"252",0,0,0,0,0,0,0,0,0,1
"253",0,1,0,0,0,0,0,0,0,1
"254",0,2,1,0,2,0,2,2,0,4
"255",1,0,0,0,0,0,0,0,1,3
"256",0,2,0,0,3,0,0,3,0,3
"257",0,1,0,0,2,0,1,2,0,3
"258",0,3,0,1,1,0,0,0,1,3
"259",1,0,0,1,1,1,0,0,2,0
"260",0,0,0,0,0,0,0,0,0,0
"261",0,1,0,1,1,0,1,0,0,2
"262",0,0,1,0,0,0,1,0,1,2
"263",1,0,1,1,0,1,0,0,1,0
"264",0,0,0,0,1,0,0,0,0,2
"265",0,0,0,0,0,0,0,0,0,1
"266",0,0,2,0,1,2,0,1,2,1
"267",0,1,0,1,0,1,0,2,1,4
"268",0,1,0,0,0,0,0,1,0,2
"269",1,1,1,0,3,1,1,3,2,3
"270",0,0,0,0,0,0,0,0,0,1
"271",1,0,0,1,0,1,0,1,1,1
"272",0,1,0,0,1,0,0,1,0,3
"273",1,0,0,2,0,0,0,0,1,3
"274",0,0,0,0,0,0,0,0,0,0
"275",2,0,0,0,0,0,0,1,1,2
"276",1,1,0,1,0,0,0,1,0,2
"277",0,1,0,0,1,0,1,2,0,2
"278",0,1,0,0,1,0,1,1,0,2
"279",0,1,0,0,0,0,1,3,0,2
"280",0,1,0,0,0,0,0,0,0,1
"281",0,0,1,0,1,0,0,1,1,3
"282",0,2,0,0,2,0,1,2,1,5
"283",1,1,3,1,0,2,1,0,3,2
"284",1,0,0,0,1,0,0,1,0,3
"285",0,1,0,0,1,1,1,0,0,1
"286",1,0,1,0,0,0,0,0,2,1
"287",0,0,0,0,0,0,0,0,0,0
"288",1,0,1,1,0,1,1,1,2,0
"289",1,0,1,1,1,1,1,1,3,3
"290",0,0,0,1,1,0,0,1,0,3
"291",0,0,0,0,0,0,0,0,0,4
"292",0,1,0,0,0,0,0,1,0,1
"293",0,0,0,0,1,1,0,0,1,2
"294",0,0,0,0,0,0,0,0,0,0
"295",0,0,0,0,1,0,0,1,0,2
"296",0,4,0,0,2,0,2,2,1,2
"297",1,0,1,1,1,1,0,0,2,1
"298",0,1,1,0,1,0,0,1,1,1
"299",0,0,0,0,0,0,0,0,0,0
