id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1474401166326857731,1474401166326857731,2021-12-24 16:26:45 W. Europe Standard Time,2021-12-24,16:26:45,+0100,1170973096221667328,navyartwork,navy,,currently painting a pizza using oil paints 🍕  https://t.co/r8nHaqkiog,en,[],[],['https://pbs.twimg.com/media/FHYgAzfVEAM8cyq.jpg'],500,9356,144952,[],[],https://twitter.com/navyartwork/status/1474401166326857731,False,,1,https://pbs.twimg.com/media/FHYgAzfVEAM8cyq.jpg,,,,,,,[],,,,
1474386378821619713,1474386378821619713,2021-12-24 15:28:00 W. Europe Standard Time,2021-12-24,15:28:00,+0100,305011646,bird_up21,The Exceptional Ninja,,I Woulda Been Sliding Your Food Under The Door Like Shug Avery,en,[],[],[],47,2147,7741,[],[],https://twitter.com/Bird_Up21/status/1474386378821619713,False,https://twitter.com/misslittlebody/status/1474150246368251906,0,,,,,,,,[],,,,
1474369427034542082,1474369427034542082,2021-12-24 14:20:38 W. Europe Standard Time,2021-12-24,14:20:38,+0100,3086646648,miss_snell_,Cece 💋,,Hey guys please share.  There’s a Christmas food bank today at: WHCC  Enmore Road London  SE25 5NQ Time: 7:30-9:30pm,en,[],[],[],0,1130,378,[],[],https://twitter.com/Miss_Snell_/status/1474369427034542082,False,,0,,,,,,,,[],,,,
1474360638021451778,1474360638021451778,2021-12-24 13:45:43 W. Europe Standard Time,2021-12-24,13:45:43,+0100,264656632,jamesannan,James Annan 🇪🇺,,"Have you no shame? A food bank is a national embarrassment, not a photo opportunity.",en,[],[],[],609,2067,11297,[],[],https://twitter.com/jamesannan/status/1474360638021451778,False,https://twitter.com/NatalieElphicke/status/1474058256091914241,0,,,,,,,,[],,,,
1474341257325559811,1474341257325559811,2021-12-24 12:28:42 W. Europe Standard Time,2021-12-24,12:28:42,+0100,1214887855,wheat_daddy,Andrew Ward 🇬🇧🚜,,"Last May Michael Gove guaranteed food produced to lower standards would not enter the UK, this week, the government has signed a 3 year deal allowing tariff free imported cane sugar, grown with 20 products I am banned from using in growing sugar beet. 🤷‍♂️🤬  https://t.co/3YrzbuZt3d",en,[],[],[],642,5291,8993,[],[],https://twitter.com/wheat_daddy/status/1474341257325559811,False,,1,https://pbs.twimg.com/amplify_video_thumb/1048194913618317312/img/g8Vp_K1dHNA2W28-.jpg,,,,,,,[],,,,
1474329314858524672,1474329314858524672,2021-12-24 11:41:15 W. Europe Standard Time,2021-12-24,11:41:15,+0100,739396249670037504,xivtroy,T. R. Okuna,,"Maybe I am old school but I would like it if my woman joined my mother &amp; sisters in the food preparation process. The same way I would join her father &amp; brothers in erecting the tent. It's not the act, it's the symbolism. Europeans call it gender roles; we call it community.",en,[],[],[],159,3100,7925,[],[],https://twitter.com/XivTroy/status/1474329314858524672,False,,0,,,,,,,,[],,,,
1474318422230159361,1474318422230159361,2021-12-24 10:57:58 W. Europe Standard Time,2021-12-24,10:57:58,+0100,20098015,davidschneider,David Schneider,,"✅ 4% off GDP ✅ £12bn lost every month ✅ Food rotting on farms ✅ Fishing, farming, exporters screwed ✅ Businesses going to the wall ✅ Empty shelves ✅ NI peace threatened ✅ Fuel shortages ✅ Actual shit in rivers  Happy anniversary to our wonderful Brexit deal",en,[],[],[],397,2660,11608,[],[],https://twitter.com/davidschneider/status/1474318422230159361,False,,0,,,,,,,,[],,,,
1474283579555430401,1474283579555430401,2021-12-24 08:39:30 W. Europe Standard Time,2021-12-24,08:39:30,+0100,1186023225945460737,studio_0613,스튜디오,,"reminder to keep yourselves well hydrated and fueled with food!! (maybe sneak some vitamin c in too)  also if you haven't already done so, please get vaccinated and/or the booster! i got boosted(??) in early nov :) gorgeousgorgeous armys get vaccinated and wear masks😚",en,[],[],[],28,2019,5549,[],[],https://twitter.com/STUDIO_0613/status/1474283579555430401,False,,0,,,,,,,,[],,,,
1474277238023458816,1474277238023458816,2021-12-24 08:14:18 W. Europe Standard Time,2021-12-24,08:14:18,+0100,219853710,rabkairahas,AkbarSahari,,"Allahuakbar! Abg2 Grab, F Panda, Shopee Food, Lalamove sanggup tinggalkan tugas hakiki demi bantu NGO hantar makanan &amp; keperluan kpd mangsa banjir di Hulu Langat. Dr pagi smpi mlm. Gaji zero tapi pahala 100% Insyallah.   Today ke perkampungan org Asli…  https://t.co/U4FokxhZUv",in,[],[],[],124,19319,20270,[],[],https://twitter.com/rabkairahas/status/1474277238023458816,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1474277145941659648/pu/img/JzTa7L-obrlMYV_H.jpg,,,,,,,[],,,,
1474207174272241673,1474207174272241673,2021-12-24 03:35:54 W. Europe Standard Time,2021-12-24,03:35:54,+0100,101042844,sachinsingh1010,Sachin Singh,,"#Kapurthala was a cold blooded murder...it's criminal to call it lynching, post-mortem report reveals gruesome details 25 to 30 deep, sharp cuts on body, fractured skull, neck was slit deep, wind pipe, food pipe, and veins were cut...book the accused for murder @PunjabPoliceInd  https://t.co/netVh7v2gU",en,"[{'screen_name': 'punjabpoliceind', 'name': 'punjab police india', 'id': '4636907065'}]",[],[],403,3384,4960,['kapurthala'],[],https://twitter.com/sachinsingh1010/status/1474207174272241673,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1474206651666341888/pu/img/Ne1siEv-hr1Ybprk.jpg,,,,,,,[],,,,
1474138959672492042,1474138959672492042,2021-12-23 23:04:50 W. Europe Standard Time,2021-12-23,23:04:50,+0100,954470334,harlemmc,🇩🇴 DMs closed - y’all can’t follow instructions,,"Let me tell y’all something. Regardless of whether you’re vaccinated or not, we are not romantically compatible if you have a problem sneaking food into the movies.  https://t.co/61PFEfq5iz",en,[],[],['https://pbs.twimg.com/media/FHUxkfYWQAY7Z5p.jpg'],42,2555,11076,[],[],https://twitter.com/HarlemMC/status/1474138959672492042,False,,1,https://pbs.twimg.com/media/FHUxkfYWQAY7Z5p.jpg,,,,,,,[],,,,
1474081231843254273,1474081231843254273,2021-12-23 19:15:27 W. Europe Standard Time,2021-12-23,19:15:27,+0100,58884304,chump_dick,Chumpy!🔍,,"HR having a pizza party instead of addressing problems, but on the national level",en,[],[],[],41,1725,16409,[],[],https://twitter.com/chump_dick/status/1474081231843254273,False,https://twitter.com/MrsT106/status/1474048541911916544,0,,,,,,,,[],,,,
1474041067087413251,1474041067087413251,2021-12-23 16:35:51 W. Europe Standard Time,2021-12-23,16:35:51,+0100,1364861182402646016,edwinmasripan,Edwin Masripan // Nerd Marketer + Designer,,"Azwan Omar.  With RM 50 in his pocket, RM20 for boat fuel, RM30 for food, he towed 150km boat on his Viva to help Search and Rescue mission.  What's our excuse?  https://t.co/dCSmETqeRQ",en,[],[],['https://pbs.twimg.com/media/FHTYiMlUcAAusVa.jpg'],52,12047,18631,[],[],https://twitter.com/edwinmasripan/status/1474041067087413251,False,,1,https://pbs.twimg.com/media/FHTYiMlUcAAusVa.jpg,,,,,,,[],,,,
1474040943691108358,1474040943691108358,2021-12-23 16:35:21 W. Europe Standard Time,2021-12-23,16:35:21,+0100,92942408,folasanwo,Fola Olatunji-David,,"Please read carefully before responding.   If you know anyone in Lagos who has a baby that was born premature and the baby is still under 6 months, my family would like to give them 1 month worth of baby food and diapers.  DMs are open for 6 families/babies.",en,[],[],[],19,1531,1157,[],[],https://twitter.com/folasanwo/status/1474040943691108358,False,,0,,,,,,,,[],,,,
