"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"691",0,0,0,0,1,0,0,0,0,1
"692",0,1,0,0,3,0,1,0,0,3
"693",0,1,0,0,4,0,2,1,0,4
"694",2,2,0,0,5,2,2,2,2,6
"695",0,2,0,0,4,0,1,2,0,5
"696",0,0,0,0,1,0,0,0,0,1
"697",0,0,0,0,1,0,0,0,0,1
"698",0,0,0,0,0,0,0,0,0,0
"699",0,2,0,0,2,0,1,1,0,2
"700",0,0,0,0,2,0,0,0,2,3
"701",0,1,0,0,2,0,1,0,0,2
"702",0,0,0,1,1,1,0,0,1,1
"703",0,2,0,0,4,0,1,1,0,5
"704",0,3,0,0,4,0,1,1,1,3
"705",0,1,1,0,1,0,0,0,1,1
"706",0,1,0,0,2,1,1,0,0,3
"707",0,1,0,0,2,0,0,0,2,3
"708",0,3,0,0,2,1,1,3,1,6
"709",0,3,0,0,5,0,1,0,2,5
"710",0,2,0,0,4,0,1,0,2,4
"711",0,1,1,0,2,0,1,2,1,3
"712",0,2,1,0,5,0,0,3,1,5
"713",0,1,0,0,2,0,1,1,0,3
"714",0,0,0,0,1,0,0,1,1,2
"715",0,0,0,0,1,0,0,0,0,3
"716",0,0,0,0,2,0,0,0,0,2
"717",1,1,1,1,2,1,1,0,1,3
"718",0,0,0,0,0,0,0,0,0,0
"719",0,2,0,0,3,0,1,2,0,3
"720",0,1,0,1,1,0,0,0,1,1
"721",0,1,0,0,1,0,0,0,0,2
"722",0,1,0,0,3,0,1,0,0,3
"723",0,1,0,0,3,1,0,1,2,6
"724",0,2,0,0,2,0,1,0,0,2
"725",0,0,0,0,1,0,0,0,0,2
"726",0,0,0,0,0,0,0,1,0,2
"727",0,2,0,0,3,0,1,0,0,3
"728",0,0,0,0,1,0,0,0,0,2
"729",1,0,0,1,1,0,0,0,2,3
"730",0,0,1,0,1,0,0,0,1,1
"731",0,0,0,0,1,0,0,0,0,1
"732",0,0,0,0,0,0,0,0,0,0
"733",0,0,1,1,1,1,0,0,2,3
"734",0,0,0,0,1,0,0,1,0,2
"735",0,0,0,0,0,0,0,0,0,0
"736",0,1,0,0,2,0,0,1,0,4
"737",0,0,0,0,2,0,1,1,1,3
"738",1,1,0,2,1,2,0,0,3,2
"739",0,0,0,0,2,1,0,0,1,3
"740",0,1,0,0,2,0,0,3,0,4
"741",0,0,0,0,0,0,0,0,0,0
"742",2,0,1,2,0,1,1,0,2,0
"743",0,2,0,0,4,0,1,2,0,5
"744",0,0,0,0,1,0,0,0,0,2
"745",0,2,0,0,4,0,1,2,0,5
"746",0,2,0,0,3,0,0,0,0,4
"747",0,1,0,0,1,0,0,0,2,2
"748",0,1,0,0,1,0,0,0,1,1
"749",0,2,0,0,3,0,0,2,1,4
"750",0,0,0,1,1,0,0,0,1,1
"751",0,2,0,0,4,0,1,2,0,5
"752",0,3,1,2,3,1,2,2,1,3
"753",0,0,0,0,1,0,0,0,0,1
"754",0,0,0,0,0,0,0,0,0,0
"755",0,5,0,0,7,0,2,4,0,8
"756",0,1,0,0,2,0,1,0,0,2
"757",0,2,0,0,2,0,0,2,0,4
"758",0,1,0,0,2,0,1,0,0,2
"759",0,2,0,0,3,0,1,1,0,5
"760",0,1,0,0,2,0,1,0,0,2
"761",1,2,2,2,3,3,1,1,3,4
"762",0,0,0,0,0,0,0,0,0,1
"763",0,1,0,0,3,0,1,0,0,3
"764",0,1,0,0,3,0,1,1,0,4
"765",0,1,0,0,1,1,0,0,0,2
"766",0,1,0,0,3,0,1,0,0,3
"767",0,0,0,1,1,1,0,0,1,2
"768",0,1,0,0,2,0,1,0,0,2
"769",0,1,0,0,2,0,1,1,0,3
"770",0,0,0,0,1,0,0,0,0,1
"771",0,0,0,0,2,0,0,1,0,4
"772",0,0,0,0,1,0,0,0,1,2
"773",0,1,0,0,3,0,1,1,0,4
"774",0,2,0,0,5,0,1,1,0,5
"775",0,3,0,0,7,0,1,2,0,7
"776",0,1,0,0,4,0,1,0,0,4
"777",0,2,0,0,2,0,1,1,0,2
"778",0,1,0,0,2,0,1,0,0,2
"779",0,1,0,0,1,1,1,0,1,2
"780",1,0,0,0,0,1,0,0,3,0
"781",1,0,1,1,1,1,0,1,1,2
"782",0,1,0,0,2,0,1,0,0,2
"783",0,2,0,0,3,0,0,1,0,4
"784",0,0,0,0,1,0,0,0,0,1
"785",0,2,0,0,4,0,1,3,0,5
"786",0,2,0,0,4,0,1,2,0,4
"787",0,2,0,0,3,0,0,3,0,5
"788",1,0,1,1,1,1,0,0,2,1
"789",0,1,0,0,4,0,1,0,0,4
"790",0,2,0,0,3,0,1,1,1,3
"791",0,0,0,1,4,0,0,3,0,4
"792",0,1,0,0,2,0,1,0,0,2
"793",0,1,0,0,2,0,1,0,0,2
"794",0,0,1,0,1,1,0,1,2,1
"795",0,0,0,0,0,2,0,0,1,0
"796",0,0,0,0,1,0,0,0,0,1
"797",0,0,0,0,0,0,0,0,0,1
"798",0,0,0,0,0,0,0,0,0,0
"799",0,3,1,0,3,0,3,3,1,3
"800",0,1,0,0,2,0,0,1,1,3
"801",1,0,0,0,1,0,0,0,1,1
"802",0,1,1,0,2,0,1,3,2,5
"803",0,1,0,0,2,0,1,0,0,3
"804",0,2,0,0,4,0,1,2,0,5
"805",0,1,0,0,1,0,0,2,0,3
"806",0,0,0,0,1,1,1,0,1,1
"807",0,1,0,0,3,0,1,0,0,3
"808",0,0,0,0,0,0,0,0,0,0
"809",0,1,0,0,3,0,1,0,0,3
"810",0,0,0,0,1,0,0,0,0,1
"811",0,0,0,0,0,0,0,0,0,0
"812",1,0,0,0,1,0,0,0,1,1
"813",0,1,0,0,2,0,1,0,0,2
"814",0,0,0,0,0,0,0,0,0,0
"815",1,0,1,1,1,2,0,0,2,2
"816",0,0,0,0,1,0,1,0,0,1
"817",0,0,0,0,1,0,0,0,0,1
"818",0,0,1,0,0,0,0,0,1,0
"819",0,1,0,0,2,0,2,1,2,2
"820",0,2,0,0,4,0,1,1,0,4
"821",0,0,0,0,1,0,0,0,1,1
"822",0,0,0,0,0,0,0,0,0,0
"823",0,0,0,0,1,0,0,1,0,2
"824",1,0,1,2,1,0,1,0,2,1
"825",1,0,0,0,1,0,0,0,2,1
"826",1,0,0,1,1,1,1,0,1,2
"827",0,0,0,0,1,0,0,0,0,1
"828",0,0,0,0,0,0,0,0,0,0
"829",0,0,0,0,0,0,0,1,1,0
"830",0,0,0,0,0,0,0,1,1,0
"831",1,0,1,0,1,2,0,0,2,1
"832",0,0,0,0,1,0,0,2,0,2
"833",0,1,0,0,2,0,0,2,1,3
"834",0,2,1,1,5,0,0,3,1,7
